journal,issueURL,volumn,issue,issueText,month,year,category,title,url,doi,pages,abstract,abstract_para_num,type,cross_country,cross_type,cross_gender,cross_race,num_race,num_country,cross_gender_and_race,cross_gender_and_country,cross_country_and_race,cross_gender_race_and_country,numberOfAuthors,first_author_gender,first_author_race,first_author_country,first_author_afftype,with_us_authors,cross_race_details
Journal of Communication,https://academic.oup.com/joc/issue/72/3?browseBy=volume,Volume 72,Issue 3,"Issue 3, June 2022, Pages 297–449",June,2022,Articles,The Gender Divide in Wikipedia: Quantifying and Assessing the Impact of Two Feminist Interventions,https://academic.oup.com/joc/article/72/3/297/6529454,10.1093/joc/jqac004,297–321,"Wikipedia has a well-known gender divide affecting its biographical content. This bias not only shapes social perceptions of knowledge, but it can also propagate beyond the platform as its contents are leveraged to correct misinformation, train machine-learning tools, and enhance search engine results. What happens when feminist movements intervene to try to close existing gaps? Through a quantitative analysis of over 11,000 Wikipedia articles, we provide an evaluation of two popular feminist interventions designed to counteract gender inequality within digital information projects. We find that the interventions are successful at adding content about women that would otherwise be missing, but they are less successful at addressing structural biases that limit the visibility of that content. This leads us to argue for a more granular and cumulative analysis of gender gaps in collaborative environments. We also discuss the implications for future scholarship on digital inequalities.",1.0,R,False,False,False,True,2,1,False,False,False,False,2.0,F,White,US,Education,True,cross race
Journal of Communication,https://academic.oup.com/joc/issue/72/3?browseBy=volume,Volume 72,Issue 3,"Issue 3, June 2022, Pages 297–449",June,2022,Articles,Mapping Exposure Diversity: The Divergent Effects of Algorithmic Curation on News Consumption,https://academic.oup.com/joc/article/72/3/322/6549217,10.1093/joc/jqac009,322–344,"Diversity is a crucial precondition for a democratic public discourse. In today’s high-choice media environments, exposure to diverse news is largely determined by individuals’ personal selection. Yet these decisions are increasingly shaped by online platforms, whose curation mechanisms may serve to expand or contract the diversity of encountered content. In a major extension of existing research, we show that positive short-term effects of platforms mask detrimental long-term effects. Drawing on a four-month tracking dataset and a comprehensive content analysis covering the online news consumption of over 10,000 German citizens, we demonstrate that even though short-term usage of platforms uniformly increases exposure diversity, long-term reliance can lead to decreases. In addition, platforms vary in their influences: News aggregators are beneficial to exposure diversity, while Twitter and search engines have a limiting effect; Facebook offers no significant influence.",1.0,R,False,False,True,False,1,1,False,False,False,False,2.0,M,White,DE,Education,False,White only
Journal of Communication,https://academic.oup.com/joc/issue/72/3?browseBy=volume,Volume 72,Issue 3,"Issue 3, June 2022, Pages 297–449",June,2022,Articles,Democratic Consequences of Incidental Exposure to Political Information: A Meta-Analysis,https://academic.oup.com/joc/article/72/3/345/6549884,10.1093/joc/jqac008,345–373,"In the last two decades, communication research dedicated substantial attention to the effects of incidental exposure (IE) to political information. In this meta-analysis, we analyzed the relationship of IE and five outcomes relevant for democracies. Including 106 distinct samples with more than 100,000 respondents, we observed positive cross-sectional relationships between IE and news use, political knowledge, political participation, expressive engagement, and political discussion. These effects shrink substantially but remain significant for panel studies. While we found a stronger relationship with knowledge for experiments compared to surveys, the relationship between IE and discussion and participation was not significant for experiments. Overall, findings suggest that IE matters, but its effects are smaller and more nuanced than previously thought. Also, the effects of IE are strongest when there is congruence between the exposure setting and the outcome setting. We discuss theoretical and methodological implications for IE research and the field at large.",1.0,R,False,False,False,False,1,1,False,False,False,False,2.0,M,White,AT,Education,False,White only
Journal of Communication,https://academic.oup.com/joc/issue/72/3?browseBy=volume,Volume 72,Issue 3,"Issue 3, June 2022, Pages 297–449",June,2022,Articles,The Great and Powerful Dr. Oz? Alternative Health Media Consumption and Vaccine Views in the United States,https://academic.oup.com/joc/article/72/3/374/6555289,10.1093/joc/jqac011,374–400,"Cardiothoracic surgeon Dr. Mehmet Oz, until recently the host of a nationally syndicated U.S. television show, is among the media figures who have espoused health views unsanctioned by established medical authorities such as the Center for Disease Control and Prevention and the Food and Drug Administration. In a large, probability-based national longitudinal study, we examine the prevalence and consequences of consuming alternative health media (AHM), such as The Dr. Oz Show. Drawing on data from a naturally occurring and time-varying quasi-experiment, we demonstrate that such programming may be able to shift the attitudes of its audience on consequential health topics. Specifically, Oz’s endorsement of the MMR vaccine was associated with a shift in acceptance among a segment of his audience. Our study demonstrates both the persuasive power of AHM and its capacity to align the views of its low-knowledge audience members with CDC and FDA-consistent science, should its trusted sources choose to do so.",1.0,R,True,False,True,False,1,2,False,True,False,False,4.0,M,White,US,Education,True,White only
Journal of Communication,https://academic.oup.com/joc/issue/72/3?browseBy=volume,Volume 72,Issue 3,"Issue 3, June 2022, Pages 297–449",June,2022,Articles,A Methodological Framework for Analyzing the Appearance and Duration of Media Effects,https://academic.oup.com/joc/article/72/3/401/6584379,10.1093/joc/jqac013,401–428,"Media effects have been studied for decades. However, it is still unclear how to assess the dynamic nature of media effects methodologically and analytically. Building on recent research on media effects and developments in statistical modeling, I present a methodological framework to provide a detailed analysis of media effect dynamics. To do so, I describe general patterns for the appearance and the duration of media effects and present statistical approaches to analyze them. Using artificial data, I illustrate how these statistical approaches can be applied to longitudinal data and show how they behave across different data scenarios. Further, extensions, limitations, and the theoretical contribution of the framework to the field of media effects research are discussed. In sum, the presented framework can be used to test various communication theories and can be combined with many research designs in order to identify patterns in the appearance and duration of media effects.",1.0,R,False,False,False,False,1,1,False,False,False,False,1.0,M,White,DE,Education,False,White only
Journal of Communication,https://academic.oup.com/joc/issue/72/3?browseBy=volume,Volume 72,Issue 3,"Issue 3, June 2022, Pages 297–449",June,2022,Articles,"To Misspecify Is Common, to Probe Misspecification Scientific: Common “Confounds” in Pornography Research May Actually Be Predictors",https://academic.oup.com/joc/article/72/3/429/6573231,10.1093/joc/jqac012,429–447,"The ills of modeling variables substantively involved in a causal process as “controls” have been discussed extensively by social scientists who do not study media. Until recently, Slater was one of the few communication scientists to suggest that media effects scholars engage in overcontrol. Bushman and Anderson have now echoed this concern in the context of a broader treatise on research trends in the media violence literature. The present study responded to Wright’s recent discussion of control variable usage in the pornography literature. Specifically, using a national probability sample of approximately 1,900 U.S. adults, the present study assessed whether multiple demographic variables routinely modeled as controls in the pornography effects literature may be better conceptualized as initiating predictors. Results were inconsistent with the confounding approach but consistent with the hypothesis that individual differences predict cognitive response states that increase or decrease the likelihood of media effects.",1.0,R,False,False,True,True,2,1,True,False,False,False,4.0,M,White,US,Education,True,cross race
Journal of Communication,https://academic.oup.com/joc/issue/72/2?browseBy=volume,Volume 72,Issue 2,"Issue 2, April 2022, Pages 145–296",April,2022,Articles,Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,https://academic.oup.com/joc/article/72/2/145/6509144,10.1093/joc/jqab054,145–164,"Media systems have changed significantly as a result of the development of information technologies. However, typologies of media systems that incorporate aspects of digitalization are rare. This study fills this gap by identifying, operationalizing, and measuring indicators of media systems in the digital age. We build on previous work, extend it with new indicators that reflect changing conditions (such as online news use), and include media freedom indicators. We include 30 countries in our study and use cluster analysis to identify three clusters of media systems. Two of these clusters correspond to the media system models described by Hallin and Mancini, namely the democratic-corporatist and the polarized-pluralist model. However, the liberal model as described by Hallin and Mancini has vanished; instead, we find empirical evidence of a new cluster that we call “hybrid”: it is positioned in between the poles of the media-supportive democratic-corporatist and the polarized-pluralist clusters.",1.0,R,True,False,True,True,2,2,True,True,True,True,5.0,M,White,CH,Education,False,cross race
Journal of Communication,https://academic.oup.com/joc/issue/72/2?browseBy=volume,Volume 72,Issue 2,"Issue 2, April 2022, Pages 145–296",April,2022,Articles,"#GirlGamers, Soldiers, and Public Relations: Analyzing Gender Representation in U.S. Army Esports",https://academic.oup.com/joc/article/72/2/165/6499883,10.1093/joc/jqab051,165–186,"While interest in esports is widespread across demographic categories, the gendered norms surrounding video game play have been replicated, resulting in a male-dominated space. Scholars argue that broadening representations of gamers is necessary to normalizing women’s presence in esports. As nongaming organizations enter the space, they have a unique opportunity to disrupt established norms through their representations of esports competitors. This study analyzes the representation of U.S. Army Esports (USAE) team members via official social media channels. USAE was created as a public relations tool to engage with a younger audience, redefine the public image of the Army, and recruit soldiers. Using a critical public relations framework and critical discourse analysis, we examine the discourse around gender and esports constructed through USAE’s representation of team members and the role of public relations practice in reinforcing or disrupting existing norms.",1.0,R,False,False,True,False,1,1,False,False,False,False,2.0,F,White,US,Education,True,White only
Journal of Communication,https://academic.oup.com/joc/issue/72/2?browseBy=volume,Volume 72,Issue 2,"Issue 2, April 2022, Pages 145–296",April,2022,Articles,The Effects of Tobacco Coverage in the Public Communication Environment on Young People’s Decisions to Smoke Combustible Cigarettes,https://academic.oup.com/joc/article/72/2/187/6506191,10.1093/joc/jqab052,187–213,"In today’s complex media environment, does media coverage influence youth and young adults’ (YYA) tobacco use and intentions? We conceptualize the “public communication environment” and effect mediators, then ask whether over time variation in exogenously measured tobacco media coverage from mass and social media sources predicts daily YYA cigarette smoking intentions measured in a rolling nationally representative phone survey (N = 11,847 on 1,147 days between May 2014 and June 2017). Past week anti-tobacco and pro-tobacco content from Twitter, newspapers, broadcast news, Associated Press, and web blogs made coherent scales (thetas = 0.77 and 0.79). Opportunities for exposure to anti-tobacco content in the past week predicted lower intentions to smoke (Odds ratio [OR] = 0.95, p < .05, 95% confidence interval [CI] = 0.91–1.00). The effect was stronger among current smokers than among nonsmokers (interaction OR = 0.88, p < .05, 95% CI = 0.77–1.00). These findings support specific effects of anti-tobacco media coverage and illustrate a productive general approach to conceptualizing and assessing effects in the complex media environment.",1.0,R,False,False,True,True,2,1,True,False,False,False,18.0,M,White,US,Education,True,cross race
Journal of Communication,https://academic.oup.com/joc/issue/72/2?browseBy=volume,Volume 72,Issue 2,"Issue 2, April 2022, Pages 145–296",April,2022,Articles,Partisan Blocking: Biased Responses to Shared Misinformation Contribute to Network Polarization on Social Media,https://academic.oup.com/joc/article/72/2/214/6548826,10.1093/joc/jqac002,214–240,"Researchers know little about how people respond to misinformation shared by their social media “friends.” Do responses scale up to distort the structure of online networks? We focus on an important yet under-researched response to misinformation—blocking or unfollowing a friend who shares it—and assess whether this is influenced by political similarity between friends. Using a representative sample of social media users (n = 968), we conducted two 2 × 2 between-subjects experiments focusing on two political issues and individuals’ political ideology as a quasi-factor. The first factor manipulated who shared the misinformation (politically similar vs. dissimilar friend); the second manipulated the misinformation’s plausibility (implausible vs. moderately plausible). Our findings, which replicated across political issues and levels of plausibility, reveal that social media users, particularly left-wing users, are more likely to block and unfollow politically dissimilar than similar friends who share misinformation. Partisan blocking contributes to network polarization on social media.",1.0,R,False,False,False,False,1,1,False,False,False,False,3.0,M,White,GB,Education,False,White only
