doi,url,year,title,journal,datePublished,authorFullName,firstName,lastName,numberOfAuthors,authorPosition,affiliation
10.1093/ccc/tcac016,https://academic.oup.com/ccc/article/15/2/103/6581831,2022,Digital Migration Practices and the Everyday,"Communication, Culture and Critique",2022-05-06,Sandra Ponzanesi,Sandra,Ponzanesi,2.0,1.0,"Department of Media and Culture Studies, Utrecht University ,  The Netherlands"
10.1093/ccc/tcac016,https://academic.oup.com/ccc/article/15/2/103/6581831,2022,Digital Migration Practices and the Everyday,"Communication, Culture and Critique",2022-05-06,Koen Leurs,Koen,Leurs,2.0,2.0,"Department of Media and Culture Studies, Utrecht University ,  The Netherlands"
10.1093/ccc/tcac012,https://academic.oup.com/ccc/article/15/2/122/6565345,2022,"Working with “Wogs”: Aliens, Denizens and the Machinations of Denialism","Communication, Culture and Critique",2022-04-08,Paul Gilroy,Paul,Gilroy,1.0,1.0,"Sarah Parker Remond Centre for the study of racism and racialisation,  Institute of Advanced Study , UCL"
10.1093/ccc/tcac009,https://academic.oup.com/ccc/article/15/2/139/6562973,2022,"Viral Borders: Migration, Deceleration, and the Re-Bordering of Mobility during the COVID-19 Pandemic","Communication, Culture and Critique",2022-04-04,Nicholas De Genova,Nicholas,Genova,1.0,1.0,"Department of Comparative Cultural Studies, University of Houston , Houston,  USA"
10.1093/ccc/tcac007,https://academic.oup.com/ccc/article/15/2/157/6570646,2022,"Digitalization, Digitization and Datafication: The ""Three D"" Transformation of Forced Migration Management","Communication, Culture and Critique",2022-04-19,Saskia Witteborn,Saskia,Witteborn,1.0,1.0,"The Chinese University of Hong Kong, School of Journalism and Communication, CUHK, Shatin, N.T., Hong Kong"
10.1093/ccc/tcac018,https://academic.oup.com/ccc/article/15/2/176/6573768,2022,Extractive Humanitarianism: Participatory Confinement and Unpaid Labor in Refugees Governmentality,"Communication, Culture and Critique",2022-04-25,Martina Tazzioli,Martina,Tazzioli,1.0,1.0,"Department of Politics &amp; International Relations, Goldsmiths College, 8 Lewisham Way, SE14 6NW, London ,  UK"
10.1093/ccc/tcac005,https://academic.oup.com/ccc/article/15/2/193/6564094,2022,Borders of Affect: Mobilizing Border Imagery as Civic Engagement,"Communication, Culture and Critique",2022-04-06,Roopika Risam,Roopika,Risam,1.0,1.0,"Department of Secondary and Higher Education, Salem State University , Salem, MA 01970,  USA"
10.1093/ccc/tcac013,https://academic.oup.com/ccc/article/15/2/211/6571700,2022,Biometric Bordering and Automatic Gender Recognition: Challenging Binary Gender Norms in Everyday Biometric Technologies,"Communication, Culture and Critique",2022-04-20,C L Quinan,L,Quinan,2.0,1.0,"School of Culture and Communication, University of Melbourne , Melbourne,  Australia"
10.1093/ccc/tcac013,https://academic.oup.com/ccc/article/15/2/211/6571700,2022,Biometric Bordering and Automatic Gender Recognition: Challenging Binary Gender Norms in Everyday Biometric Technologies,"Communication, Culture and Critique",2022-04-20,Mina Hunt,Mina,Hunt,2.0,2.0,"Department of Media and Culture Studies, Utrecht University , Utrecht,  The Netherlands"
10.1093/ccc/tcac008,https://academic.oup.com/ccc/article/15/2/227/6571687,2022,"Careful Digital Kinship: Understanding Multispecies Digital Kinship, Choreographies of Care and Older Adults During the Pandemic in Australia","Communication, Culture and Critique",2022-04-20,Larissa Hjorth,Larissa,Hjorth,1.0,1.0,"School of Media &amp; Communication, RMIT University, Melbourne, VIC, Australia"
10.1093/ccc/tcac011,https://academic.oup.com/ccc/article/15/2/244/6572111,2022,"“Come On, Put Viber, We Can Drink Coffee Together”: Performing (Im)mobile Intimacy in Turbulent Times Among Aging Migrants","Communication, Culture and Critique",2022-04-21,Earvin Charles B Cabalquinto,Earvin,Cabalquinto,1.0,1.0,"School of Communication and Creative Arts, Faculty of Arts and Education, Deakin University , Burwood, Victoria,  Australia"
10.1093/ccc/tcac010,https://academic.oup.com/ccc/article/15/2/261/6565888,2022,Digital Diasporas: Staying with the Trouble,"Communication, Culture and Critique",2022-04-09,Laura Candidatu,Laura,Candidatu,2.0,1.0,"Lecturer Utrecht University , The  Netherlands"
10.1093/ccc/tcac010,https://academic.oup.com/ccc/article/15/2/261/6565888,2022,Digital Diasporas: Staying with the Trouble,"Communication, Culture and Critique",2022-04-09,Sandra Ponzanesi,Sandra,Ponzanesi,2.0,2.0,"Professor of Media, Gender and Postcolonial Studies Utrecht University, Department of Media and Culture Studies , Munstraat 2A, 3512 EV Utrecht, The Netherlands"
10.1093/ccc/tcac003,https://academic.oup.com/ccc/article/15/2/269/6561482,2022,Digital (in-)Visibilities: Spatializing and Visualizing Politics of Voice,"Communication, Culture and Critique",2022-03-31,Myria Georgiou,Myria,Georgiou,1.0,1.0,"Department of Media and Communications, London School of Economics and Political Science , Houghton Street, London WC2A 2AE, UK"
10.1093/ccc/tcac006,https://academic.oup.com/ccc/article/15/2/276/6556263,2022,A Lot of Straddling and Squirming: Taking Queer Migrant Stories beyond the Academic and Digital Walls,"Communication, Culture and Critique",2022-03-31,Łukasz Szulc,Łukasz,Szulc,1.0,1.0,"Sociological Studies, University of Sheffield, Sheffiled, UK"
10.1093/ccc/tcac015,https://academic.oup.com/ccc/article/15/2/283/6571686,2022,"Affect, Creativity and Migrant Belonging","Communication, Culture and Critique",2022-04-20,Raelene Wilding,Raelene,Wilding,2.0,1.0,"Department of Social Inquiry, La Trobe University, Bundoora, Victoria 3086, Australia"
10.1093/ccc/tcac015,https://academic.oup.com/ccc/article/15/2/283/6571686,2022,"Affect, Creativity and Migrant Belonging","Communication, Culture and Critique",2022-04-20,Monika Winarnita,Monika,Winarnita,2.0,2.0,"Deakin University, School of Humanities and Social Sciences , Burwood Melbourne, Victoria 3125, Australia"
10.1093/ccc/tcac019,https://academic.oup.com/ccc/article/15/2/290/6572110,2022,Migration and the Deep Time of Media Infrastructures,"Communication, Culture and Critique",2022-04-21,Koen Leurs,Koen,Leurs,2.0,1.0,"Graduate Gender Programme, Department of Media and Culture, Utrecht University Muntstraat 2a, Utrecht, 3512 EV, The Netherlands"
10.1093/ccc/tcac019,https://academic.oup.com/ccc/article/15/2/290/6572110,2022,Migration and the Deep Time of Media Infrastructures,"Communication, Culture and Critique",2022-04-21,Philipp Seuferling,Philipp,Seuferling,2.0,2.0,"School of Culture and Education, Media and Communication Studies, Södertörn University, Huddinge, Alfred Nobels allé 7 Flemingsberg, 141 89, Sweden"
10.1093/ccc/tcac025,https://academic.oup.com/ccc/article/15/2/298/6594330,Correction,"Communication, Culture and Critique",2022-05-27,,,,,,,
10.1093/ccc/tcab064,https://academic.oup.com/ccc/article/15/1/1/6446125,2022,Mapping Interventions: Toward a Decolonial and Indigenous Praxis across Communication Subfields,"Communication, Culture and Critique",2021-11-29,Tiara R Na’puti,Tiara,Na’puti,2.0,1.0,"Department of Global and International Studies, 579 Social Science Tower, University of California, Irvine, CA 92697-5100, USA"
10.1093/ccc/tcab064,https://academic.oup.com/ccc/article/15/1/1/6446125,2022,Mapping Interventions: Toward a Decolonial and Indigenous Praxis across Communication Subfields,"Communication, Culture and Critique",2021-11-29,Joëlle M Cruz,Joëlle,Cruz,2.0,2.0,"Department of Communication, University of Colorado, Boulder ,  USA"
10.1093/ccc/tcab065,https://academic.oup.com/ccc/article/15/1/21/6498864,2022,"Home Economics: Sitcom Capitalism, Conservative Comedy, and Media Conglomeration in Post-Network Television","Communication, Culture and Critique",2021-01-06,Nick Marx,Nick,Marx,1.0,1.0,"Department of Communication Studies, 1783 Campus Delivery, Colorado State University, Fort Collins, CO 80523-1783, USA"
10.1093/ccc/tcab045,https://academic.oup.com/ccc/article/15/1/36/6335759,2022,(De/Re)Constructing LGBT Characters in Latin America: The Implications of Mexican Dubbing for Translating Marginalized Identities,"Communication, Culture and Critique",2021-08-02,Laurena Bernabo,Laurena,Bernabo,1.0,1.0,"University of Georgia, Entertainment &amp; Media Studies"
