doi,url,year,title,paperType,journal,datePublished,keywords
10.1093/ccc/tcac016,https://academic.oup.com/ccc/article/15/2/103/6581831,2022,Digital Migration Practices and the Everyday,ScholarlyArticle,"Communication, Culture and Critique",2022-05-06,"Migration, Digital Media, Ethnography, Datafication, Everyday, Affect"
10.1093/ccc/tcac012,https://academic.oup.com/ccc/article/15/2/122/6565345,2022,"Working with “Wogs”: Aliens, Denizens and the Machinations of Denialism",ScholarlyArticle,"Communication, Culture and Critique",2022-04-08,"wog, psychopolitics, state-capture, Oluwale, denialism, agno-politics, Windrush, data-politics"
10.1093/ccc/tcac009,https://academic.oup.com/ccc/article/15/2/139/6562973,2022,"Viral Borders: Migration, Deceleration, and the Re-Bordering of Mobility during the COVID-19 Pandemic",ScholarlyArticle,"Communication, Culture and Critique",2022-04-04,"COVID-19, migration, borders, temporality, waiting"
10.1093/ccc/tcac007,https://academic.oup.com/ccc/article/15/2/157/6570646,2022,"Digitalization, Digitization and Datafication: The ""Three D"" Transformation of Forced Migration Management",ScholarlyArticle,"Communication, Culture and Critique",2022-04-19,"abstract space, blockchain, datafication, digitization, digitalization, migration, transparency, practice"
10.1093/ccc/tcac018,https://academic.oup.com/ccc/article/15/2/176/6573768,2022,Extractive Humanitarianism: Participatory Confinement and Unpaid Labor in Refugees Governmentality,ScholarlyArticle,"Communication, Culture and Critique",2022-04-25,"Extractive Humanitarianism, Unpaid Labor, Refugees, Participatory Confinement, Value"
10.1093/ccc/tcac005,https://academic.oup.com/ccc/article/15/2/193/6564094,2022,Borders of Affect: Mobilizing Border Imagery as Civic Engagement,ScholarlyArticle,"Communication, Culture and Critique",2022-04-06,"migration, media, border studies, activism, art"
10.1093/ccc/tcac013,https://academic.oup.com/ccc/article/15/2/211/6571700,2022,Biometric Bordering and Automatic Gender Recognition: Challenging Binary Gender Norms in Everyday Biometric Technologies,ScholarlyArticle,"Communication, Culture and Critique",2022-04-20,"Biometrics, Facial Recognition, Transgender, Non-Binary, Autoethnography"
10.1093/ccc/tcac008,https://academic.oup.com/ccc/article/15/2/227/6571687,2022,"Careful Digital Kinship: Understanding Multispecies Digital Kinship, Choreographies of Care and Older Adults During the Pandemic in Australia",ScholarlyArticle,"Communication, Culture and Critique",2022-04-20,"Older Adults, Digital Kinship, COVID Pandemic, Digital Inclusion, Animals, Informal Care, More-than-Human, Ethnography, Creative Methods, Play"
10.1093/ccc/tcac011,https://academic.oup.com/ccc/article/15/2/244/6572111,2022,"“Come On, Put Viber, We Can Drink Coffee Together”: Performing (Im)mobile Intimacy in Turbulent Times Among Aging Migrants",ScholarlyArticle,"Communication, Culture and Critique",2022-04-21,"Intimacy, Mobility, Immobility, Aging, Migration, Digital Media"
10.1093/ccc/tcac010,https://academic.oup.com/ccc/article/15/2/261/6565888,2022,Digital Diasporas: Staying with the Trouble,ScholarlyArticle,"Communication, Culture and Critique",2022-04-09,"Digital diaspora, migration, ethnography, travelling theory, affect"
10.1093/ccc/tcac003,https://academic.oup.com/ccc/article/15/2/269/6561482,2022,Digital (in-)Visibilities: Spatializing and Visualizing Politics of Voice,ScholarlyArticle,"Communication, Culture and Critique",2022-03-31,"digital migration, digital refugees, media visibilities, refugee representation, voice"
10.1093/ccc/tcac006,https://academic.oup.com/ccc/article/15/2/276/6556263,2022,A Lot of Straddling and Squirming: Taking Queer Migrant Stories beyond the Academic and Digital Walls,ScholarlyArticle,"Communication, Culture and Critique",2022-03-31,"Media and Gender, Media and Diaspora, Communication for Social Change, Critical Cultural Studies, Feminist Media Studies, Gay, Lesbian and Queer Audiences, Sexuality, Queer Studies"
10.1093/ccc/tcac015,https://academic.oup.com/ccc/article/15/2/283/6571686,2022,"Affect, Creativity and Migrant Belonging",ScholarlyArticle,"Communication, Culture and Critique",2022-04-20,"Affect, Emotion, Creativity, Belonging, Gender, Mobility, Mediation"
